TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,Pacific Rim Uprising,Uni.,"$28,116,535",-,"3,708",-,"$7,583","$28,116,535",$150,1
2,1,Black Panther,BV,"$17,099,618",-35.8%,"3,370",-464,"$5,074","$631,357,854",-,6
3,3,I Can Only Imagine,RAtt.,"$13,614,967",-20.4%,"2,253",+624,"$6,043","$38,094,458",$7,2
4,N,Sherlock Gnomes,Par.,"$10,604,774",-,"3,662",-,"$2,896","$10,604,774",$59,1
5,2,Tomb Raider,WB,"$10,102,616",-57.3%,"3,854",-,"$2,621","$41,420,724",$94,2
6,4,A Wrinkle in Time,BV,"$8,215,492",-49.5%,"3,423",-557,"$2,400","$74,058,099",-,3
7,5,"Love, Simon",Fox,"$7,607,451",-35.3%,"2,434",+32,"$3,125","$23,503,052",$17,2
8,N,"Paul, Apostle of Christ",Sony,"$5,172,585",-,"1,473",-,"$3,512","$5,172,585",$5,1
9,6,Game Night,WB (NL),"$4,131,191",-26.3%,"1,866",-820,"$2,214","$60,784,726",$37,5
10,N,Midnight Sun,Global Road,"$4,003,993",-,"2,173",-,"$1,843","$4,003,993",-,1
11,N,Unsane,BST,"$3,762,145",-,"2,023",-,"$1,860","$3,762,145",-,1
12,7,Peter Rabbit,Sony,"$2,538,560",-51.2%,"2,071",-654,"$1,226","$106,805,275",$50,7
13,9,Red Sparrow,Fox,"$2,248,846",-50.4%,"1,482","-1,101","$1,517","$44,044,846",$69,4
14,8,Strangers: Prey at Night,Aviron,"$2,062,768",-56.1%,"1,481",-983,"$1,393","$22,201,687",-,3
15,N,Isle Of Dogs,FoxS,"$1,620,294",-,27,-,"$60,011","$1,620,294",-,1
16,10,Death Wish (2018),MGM,"$1,218,524",-63.8%,"1,304","-1,372",$934,"$32,616,646",$30,4
17,19,The Death of Stalin,IFC,"$1,007,003",+87.4%,141,+109,"$7,142","$2,037,426",-,3
18,11,Annihilation,Par.,"$898,364",-48.2%,478,-609,"$1,879","$31,416,769",$40,5
19,12,Jumanji: Welcome to the Jungle,Sony,"$847,706",-47.8%,"1,022",-534,$829,"$401,666,156",$90,14
20,14,The Greatest Showman,Fox,"$696,403",-38.6%,478,-259,"$1,457","$170,945,091",$84,14
21,13,7 Days in Entebbe,Focus,"$636,265",-60.0%,836,-2,$761,"$2,900,330",-,2
22,N,Hichki,Yash,"$330,279",-,73,-,"$4,524","$330,279",-,1
23,18,Fifty Shades Freed,Uni.,"$303,710",-50.3%,509,-364,$597,"$100,215,430",$55,7
24,27,The Leisure Seeker,SPC,"$290,844",+104.3%,117,+68,"$2,486","$692,441",-,7
25,16,The Shape of Water,FoxS,"$261,997",-67.0%,247,-511,"$1,061","$63,434,497",-,17
26,21,Raid (2018),Eros,"$231,581",-45.4%,79,-,"$2,931","$822,302",-,2
27,20,Thoroughbreds,Focus,"$160,875",-67.0%,117,-447,"$1,375","$2,747,595",-,3
28,45,Flower,Orch.,"$118,518",+142.3%,57,+54,"$2,079","$183,430",-,2
29,24,Coco,BV,"$115,810",-37.2%,144,-33,$804,"$209,358,338",-,18
30,22,"Three Billboards Outside Ebbing, Missouri",FoxS,"$110,645",-58.5%,128,-154,$864,"$54,256,921",-,20
31,15,The Hurricane Heist,ENTMP,"$105,721",-89.8%,128,"-2,155",$826,"$6,007,678",$35,3
32,26,Ferdinand,Fox,"$105,068",-36.7%,147,-22,$715,"$83,907,127",$111,15
33,N,Getting Grace,Hann.,"$103,831",-,60,-,"$1,731","$103,831",-,1
34,25,Star Wars: The Last Jedi,BV,"$102,020",-41.6%,150,-61,$680,"$619,967,829",-,15
35,23,A Fantastic Woman,SPC,"$95,511",-50.4%,121,-69,$789,"$1,694,772",-,8
36,28,The Post,Fox,"$91,294",-31.1%,102,-57,$895,"$81,598,960",$50,14
37,31,Maze Runner: The Death Cure,Fox,"$82,339",-20.1%,128,-19,$643,"$57,765,453",$62,9
38,35,The 15:17 to Paris,WB,"$80,164",+6.1%,146,-9,$549,"$36,080,186",$30,7
39,44,Foxtrot,SPC,"$70,387",+41.7%,26,+14,"$2,707","$263,914",-,4
40,29,Call Me by Your Name,SPC,"$67,147",-44.8%,61,-57,"$1,101","$17,881,321",-,18
41,30,"I, Tonya",Neon,"$61,932",-49.1%,102,-58,$607,"$29,881,936",-,16
42,42,Winchester,LGF,"$56,273",+12.4%,90,-1,$625,"$25,060,919",-,8
43,46,Oh Lucy!,FM,"$46,820",-4.0%,41,+10,"$1,142","$188,835",-,4
44,52,Leaning Into The Wind,Magn.,"$42,873",+36.2%,24,+12,"$1,786","$136,443",-,3
45,43,BOMBSHELL: The Hedy Lamarr Story,Zeit.,"$42,866",-14.2%,28,+2,"$1,531","$567,164",-,18
46,37,Early Man,LGF,"$42,213",-39.2%,126,-18,$335,"$8,238,168",-,6
47,32,Darkest Hour,Focus,"$41,480",-59.6%,62,-71,$669,"$56,402,780",-,18
48,40,The Party (2017),RAtt.,"$41,347",-31.3%,70,-10,$591,"$670,481",-,6
49,48,A Beautiful Planet,Imax,"$41,042",+2.7%,18,+2,"$2,280","$13,653,030",-,100
50,34,12 Strong,WB,"$40,163",-49.2%,95,-53,$423,"$45,483,468",-,10
51,49,Itzhak,Greenwich,"$38,784",+10.3%,26,+7,"$1,492","$112,632",-,3
52,17,Gringo,STX,"$36,234",-94.5%,117,"-2,197",$310,"$4,938,779",-,3
53,47,Loveless (2018),SPC,"$31,378",-34.0%,46,+3,$682,"$444,765",-,6
54,36,Operation Red Sea,WGUSA,"$30,367",-59.1%,11,-17,"$2,761","$1,495,833",-,5
55,38,Lady Bird,A24,"$29,454",-56.9%,46,-42,$640,"$48,912,443",-,21
56,33,Phantom Thread,Focus,"$29,360",-69.0%,41,-51,$716,"$20,985,660",-,13
57,N,The Last Suit,OutF,"$27,549",-,6,-,"$4,592","$27,549",-,1
58,N,Final Portrait,SPC,"$25,472",-,3,-,"$8,491","$25,472",-,1
59,41,Hostiles,ENTMP,"$22,056",-57.4%,50,-52,$441,"$29,756,103",-,14
60,N,Ismael's Ghosts,Magn.,"$19,158",-,2,-,"$9,579","$19,158",-,1
