TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,Kingsman: The Golden Circle,Fox,"$39,023,010",-,"4,003",-,"$9,748","$39,023,010",$104,1
2,1,It,WB (NL),"$29,757,494",-50.5%,"4,007",-141,"$7,426","$266,096,375",$35,3
3,N,The LEGO Ninjago Movie,WB,"$20,433,071",-,"4,047",-,"$5,049","$20,433,071",-,1
4,2,American Assassin,LGF,"$6,255,617",-57.9%,"3,154",-,"$1,983","$26,185,076",$33,2
5,3,mother!,Par.,"$3,290,780",-56.3%,"2,368",-,"$1,390","$13,459,798",$30,2
6,4,Home Again,ORF,"$3,232,156",-37.6%,"2,685",-351,"$1,204","$22,267,987",$12,3
7,N,Friend Request,ENTMP,"$2,002,863",-,"2,573",-,$778,"$2,002,863",$9.9,1
8,N,Stronger,RAtt.,"$1,611,040",-,573,-,"$2,812","$1,611,040",-,1
9,5,The Hitman's Bodyguard,LG/S,"$1,608,722",-55.2%,"2,037","-1,235",$790,"$73,356,701",$30,6
10,6,Wind River,Wein.,"$1,257,881",-51.1%,"1,431","-1,188",$879,"$31,645,630",$11,8
11,9,Spider-Man: Homecoming,Sony,"$1,063,712",-42.8%,"1,006",-430,"$1,057","$331,857,374",$175,12
12,8,Leap!,Wein.,"$959,668",-55.6%,"1,301","-1,115",$738,"$20,262,222",-,5
13,34,Brad's Status,Annapurna,"$953,193",+960.0%,453,+449,"$2,104","$1,066,530",-,2
14,7,Annabelle: Creation,WB (NL),"$727,734",-69.8%,682,"-1,435","$1,067","$101,104,430",$15,7
15,10,Dunkirk,WB,"$582,713",-55.6%,678,-800,$859,"$186,292,020",$100,10
16,N,Battle of the Sexes,FoxS,"$518,332",-,21,-,"$24,682","$518,332",-,1
17,13,Despicable Me 3,Uni.,"$505,200",-41.1%,539,-444,$937,"$261,809,115",$80,13
18,11,The Emoji Movie,Sony,"$417,727",-58.3%,573,-578,$729,"$84,568,848",$50,9
19,16,Wonder Woman,WB,"$338,279",-49.3%,355,-304,$953,"$411,990,490",$149,17
20,21,War for the Planet of the Apes,Fox,"$264,948",-24.1%,306,-164,$866,"$146,252,402",$150,11
21,12,Logan Lucky,BST,"$257,389",-74.2%,397,"-1,004",$648,"$27,469,870",$29,6
22,23,Baby Driver,TriS,"$235,025",-21.4%,252,-129,$933,"$107,446,585",$34,13
23,17,Girls Trip,Uni.,"$224,910",-60.6%,313,-420,$719,"$114,803,580",$19,10
24,14,The Dark Tower,Sony,"$217,330",-71.3%,358,-877,$607,"$50,372,805",$60,8
25,24,Viceroy's House,IFC,"$179,041",-12.8%,116,+7,"$1,543","$723,939",-,4
26,N,Victoria and Abdul,Focus,"$158,845",-,4,-,"$39,711","$158,845",-,1
27,18,The Nut Job 2: Nutty by Nature,ORF,"$147,058",-68.2%,341,-505,$431,"$28,342,490",$40,7
28,19,All Saints,Sony,"$130,811",-64.8%,293,-457,$446,"$5,578,618",$2,5
29,20,The Glass Castle,LGF,"$114,190",-67.5%,219,-479,$521,"$17,038,526",-,7
30,22,The Big Sick,LGF,"$106,531",-66.5%,122,-216,$873,"$42,707,638",-,14
31,26,True to the Game,Faith Media,"$104,978",-41.2%,107,-128,$981,"$1,080,602",-,3
32,25,Atomic Blonde,Focus,"$82,120",-55.5%,153,-117,$537,"$51,536,935",$30,9
33,27,Cars 3,BV,"$76,871",-53.8%,114,-145,$674,"$152,401,628",-,15
34,32,Rebel in the Rye,IFC,"$72,507",-20.5%,82,+33,$884,"$255,732",-,3
35,36,Columbus,INDEP,"$71,969",-11.8%,57,-4,"$1,263","$743,266",-,8
36,40,Dolores,PBS,"$69,227",-0.2%,27,+9,"$2,564","$256,582",-,4
37,28,Hazlo Como Hombre (Do It Like An Hombre),PNT,"$53,420",-65.2%,50,-176,"$1,068","$2,466,925",-,4
38,30,Kidnap (2017),Aviron,"$46,739",-61.7%,134,-372,$349,"$30,512,342",$21,8
39,39,Menashe,A24,"$46,539",-36.5%,50,-40,$931,"$1,636,807",-,9
40,33,The Trip to Spain,IFC,"$42,626",-52.7%,53,-57,$804,"$1,038,343",-,7
41,41,Beach Rats,Neon,"$40,223",-41.5%,44,-23,$914,"$393,320",-,5
42,31,Tulip Fever,Wein.,"$33,073",-71.7%,90,-157,$367,"$2,342,202",-,4
43,45,Captain Underpants: The First Epic Movie,Fox,"$32,877",-31.6%,63,-20,$522,"$73,856,328",$38,17
44,44,47 Meters Down,ENTMP,"$31,055",-37.5%,56,-40,$555,"$44,278,294",$5.5,15
45,35,Ingrid Goes West,Neon,"$26,573",-67.5%,50,-50,$531,"$2,978,682",-,7
46,48,The Unknown Girl,IFC,"$26,045",-12.9%,23,+7,"$1,132","$89,609",-,3
47,38,Shubh Mangal Saavdhan,Eros,"$23,871",-68.2%,80,-,$298,"$676,181",-,4
48,47,Maudie,SPC,"$23,234",-31.2%,44,-19,$528,"$6,117,777",-,24
49,N,Loving Vincent,Good Deed,"$23,180",-,1,-,"$23,180","$23,180",-,1
50,54,California Typewriter,Grav.,"$20,701",-5.2%,16,-2,"$1,294","$159,413",-,6
51,56,A Beautiful Planet,Imax,"$19,979",-2.9%,15,-1,"$1,332","$12,234,820",-,74
52,43,Because of Gracia,AAE,"$19,109",-63.4%,20,-12,$955,"$82,682",-,2
53,66,Ex Libris: The New York Public Library,Zipp.,"$17,820",+63.1%,4,+3,"$4,455","$42,021",-,2
54,77,Rat Film,CGld,"$17,613",+126.0%,2,-,"$8,807","$17,613",-,2
55,50,Good Time,A24,"$16,348",-38.9%,24,-5,$681,"$1,969,862",-,7
56,29,Birth of the Dragon,BH Tilt,"$15,235",-87.6%,47,-228,$324,"$6,895,695",-,5
57,49,Polina,Osci.,"$14,285",-50.5%,19,-11,$752,"$147,474",-,5
58,62,The Midwife,MBox,"$13,318",+5.5%,23,+4,$579,"$578,016",-,10
59,63,Lost in Paris,Osci.,"$12,492",+2.2%,11,-6,"$1,136","$651,109",-,15
60,55,Wish Upon,BG,"$12,394",-40.9%,25,-10,$496,"$14,289,661",$12,11
