TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,Coco,BV,"$50,802,605",-,"3,987",-,"$12,742","$72,908,930",-,1
2,1,Justice League,WB,"$41,090,491",-56.2%,"4,051",-,"$10,143","$171,903,874",-,2
3,2,Wonder,LGF,"$22,674,238",-17.7%,"3,172",+76,"$7,148","$69,807,297",-,2
4,3,Thor: Ragnarok,BV,"$16,863,294",-22.2%,"3,281",-799,"$5,140","$277,650,571",$180,4
5,4,Daddy's Home 2,Par.,"$13,217,419",-8.4%,"3,518",-57,"$3,757","$72,636,870",$69,3
6,5,Murder on the Orient Express (2017),Fox,"$13,170,932",-4.6%,"3,152",-202,"$4,179","$74,364,192",$55,3
7,6,The Star,Sony,"$6,930,919",-29.4%,"2,837",-,"$2,443","$22,088,115",$20,2
8,7,A Bad Moms Christmas,STX,"$4,895,568",-30.1%,"2,306",-642,"$2,123","$59,645,610",$28,4
9,37,"Roman J. Israel, Esq.",Sony,"$4,447,070","+7,072.8%","1,669","+1,665","$2,665","$6,201,114",$22,2
10,9,"Three Billboards Outside Ebbing, Missouri",FoxS,"$4,403,003",+299.5%,614,+561,"$7,171","$7,614,532",-,3
11,8,Lady Bird,A24,"$4,057,559",+61.2%,791,+553,"$5,130","$10,726,097",-,4
12,N,The Man Who Invented Christmas,BST,"$1,357,129",-,626,-,"$2,168","$1,811,106",-,1
13,11,Blade Runner 2049,WB,"$541,078",-13.6%,434,-32,"$1,247","$90,201,869",$150,8
14,N,Call Me by Your Name,SPC,"$412,932",-,4,-,"$103,233","$412,932",-,1
15,10,Jigsaw,LGF,"$371,110",-65.7%,383,-818,$969,"$37,267,847",$10,5
16,14,Loving Vincent,Good Deed,"$272,370",-32.5%,147,-65,"$1,853","$5,157,116",-,10
17,16,The Florida Project,A24,"$209,187",-30.2%,164,-53,"$1,276","$4,654,002",-,8
18,12,Tyler Perry's Boo 2! A Madea Halloween,LGF,"$186,310",-60.5%,248,-470,$751,"$47,029,442",$25,6
19,26,It,WB (NL),"$186,141",+24.0%,231,-1,$806,"$327,186,179",$35,12
20,17,The LEGO Ninjago Movie,WB,"$183,543",-28.1%,292,-163,$629,"$59,254,467",-,10
21,N,Darkest Hour,Focus,"$175,006",-,4,-,"$43,752","$246,761",-,1
22,30,Last Flag Flying,LGF,"$158,680",+29.8%,98,+39,"$1,619","$654,384",-,4
23,13,Geostorm,WB,"$148,064",-63.9%,165,-337,$897,"$32,965,557",$120,6
24,24,My Friend Dahmer,FR,"$141,319",-13.2%,75,-,"$1,884","$728,432",-,4
25,15,Let there be Light,ADC,"$132,208",-63.5%,199,-355,$664,"$7,030,940",-,5
26,20,Victoria and Abdul,Focus,"$122,445",-43.6%,144,-113,$850,"$21,900,215",-,10
27,29,Despicable Me 3,Uni.,"$117,685",-5.9%,161,-11,$731,"$264,394,615",$80,22
28,33,The Square,Magn.,"$113,334",+3.3%,60,-3,"$1,889","$804,336",-,5
29,23,Kingsman: The Golden Circle,Fox,"$110,893",-37.8%,173,-98,$641,"$99,943,530",$104,10
30,32,The Mountain Between Us,Fox,"$96,251",-15.3%,167,-70,$576,"$29,832,053",$35,8
31,18,Only The Brave,Sony,"$95,814",-60.5%,134,-229,$715,"$17,856,353",$38,6
32,92,The Polar Express (2017 re-release),WB,"$87,163","+6,498.3%",-,-,n/a,"$98,603",-,2
33,31,Jane (2017),Abr.,"$83,212",-30.4%,51,-33,"$1,632","$1,168,130",-,6
34,36,Novitiate,SPC,"$82,257",+29.7%,120,+59,$685,"$373,438",-,5
35,21,The Foreigner,STX,"$69,941",-64.1%,104,-146,$673,"$34,112,460",$35,7
36,25,American Made,Uni.,"$68,490",-55.6%,108,-114,$634,"$51,207,880",$50,9
37,22,The Killing of a Sacred Deer,A24,"$68,381",-63.6%,59,-131,"$1,159","$2,114,293",-,6
38,19,Happy Death Day,Uni.,"$67,700",-69.9%,131,-296,$517,"$55,571,030",$4.8,7
39,27,Marshall,ORF,"$60,371",-56.1%,111,-164,$544,"$8,881,134",$12,7
40,N,Explosion,CL,"$55,307",-,33,-,"$1,676","$55,307",-,1
41,28,My Little Pony: The Movie,LGF,"$37,511",-70.9%,119,-180,$315,"$21,818,587",-,8
42,42,A Question Of Faith,PFR,"$34,061",-15.8%,37,+9,$921,"$2,559,342",-,9
